Mats,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0s,4s,6s,Opposition Team,Player Name,Total Boundaries,Century,Half Century,Avg SR,Overall Performance,Performance Class
6,6,2,468,208,117.0,409,114.42,2,1,0,45,18, New Zealand,Aasif Sheikh,63,1,1,91.44200000000001,46.7326,High
4,4,2,293,110,146.5,300,97.66,1,2,0,27,6, P.N.G.,Aasif Sheikh,33,1,1,107.83,42.648999999999994,High
3,3,1,283,166,141.5,206,137.37,2,0,0,26,9, Sri Lanka,Aasif Sheikh,35,1,0,108.19000000000001,43.157,High
3,3,0,278,162,92.66,276,100.72,2,0,0,28,4, Sri Lanka,Aasif Sheikh,32,1,0,108.19000000000001,42.257,High
4,4,1,277,133,92.33,284,97.53,2,0,0,26,6, Nepal,Aasif Sheikh,32,1,0,84.58999999999999,35.17699999999999,High
4,4,1,261,101,87.0,268,97.38,1,2,0,12,17, Nepal,Aasif Sheikh,29,1,1,84.58999999999999,34.47699999999999,High
3,3,1,261,131,130.5,250,104.4,1,1,0,18,10, South Africa,Aasif Sheikh,28,1,1,105.05,40.315,High
3,3,0,240,152,80.0,215,111.62,1,1,0,29,5, England,Aasif Sheikh,34,1,1,104.41857142857144,41.92557142857143,High
2,2,1,226,175,226.0,165,136.96,1,1,0,24,8, Netherlands,Aasif Sheikh,32,1,1,136.96,51.088,High
6,5,1,217,138,54.25,225,96.44,1,0,0,24,8, India,Aasif Sheikh,32,1,0,114.68166666666667,44.204499999999996,High
1,1,0,210,210,210.0,131,160.3,1,0,0,24,10, Bangladesh,Aasif Sheikh,34,1,0,127.69500000000001,48.7085,High
3,3,0,208,106,69.33,203,102.46,1,1,0,20,3, England,Aasif Sheikh,23,1,1,104.41857142857144,38.625571428571426,High
3,3,0,207,116,69.0,169,122.48,1,1,0,30,2, Sri Lanka,Aasif Sheikh,32,1,1,108.19000000000001,42.457,High
4,4,0,203,119,50.75,156,130.12,1,0,0,16,15, P.N.G.,Aasif Sheikh,31,1,0,107.83,41.849,High
4,4,0,195,75,48.75,242,80.57,0,2,0,18,6, Namibia,Aasif Sheikh,24,0,1,87.67,33.701,High
3,3,1,195,94,97.5,208,93.75,0,2,0,16,2, England,Aasif Sheikh,18,0,1,104.41857142857144,36.92557142857143,High
3,3,1,194,81,97.0,148,131.08,0,2,0,24,12, India,Aasif Sheikh,36,0,1,114.68166666666667,45.4045,High
3,3,2,191,113,191.0,171,111.69,1,1,0,26,2, South Africa,Aasif Sheikh,28,1,1,105.05,40.315,High
7,7,0,190,94,27.14,330,57.57,0,1,2,19,2, Nepal,Aasif Sheikh,21,0,1,84.58999999999999,31.876999999999995,High
3,3,0,189,118,63.0,184,102.71,1,1,0,17,7, South Africa,Aasif Sheikh,24,1,1,105.05,39.114999999999995,High
4,3,0,188,140,62.66,130,144.61,1,0,0,19,11, India,Aasif Sheikh,30,1,0,114.68166666666667,43.6045,High
3,3,0,186,101,62.0,173,107.51,1,1,0,20,10, New Zealand,Aasif Sheikh,30,1,1,91.44200000000001,36.8326,High
4,4,1,182,81,60.66,230,79.13,0,2,0,17,1, U.A.E.,Aasif Sheikh,18,0,1,76.19399999999999,28.458199999999998,Other
3,3,1,182,77,91.0,210,86.66,0,2,0,14,1, New Zealand,Aasif Sheikh,15,0,1,91.44200000000001,32.132600000000004,High
3,3,0,180,109,60.0,157,114.64,1,0,0,23,3, England,Aasif Sheikh,26,1,0,104.41857142857144,39.32557142857143,High
